State,Museum or Federal Agency,MNI,AFO,CA,CUI,Geographic Area,County
MA,Robert S. Peabody Institute of Archaeology,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,12,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",14,158,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
FL,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,N/A,1,Alabama,Baldwin
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",4,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",3,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",3,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,2,1,N/A,1,Alabama,Baldwin
GA,"U.S. Dept. of Interior, FWS, Eufaula National Wildlife Refuge",1,0,1,N/A,Alabama,Barbour
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Bibb
AL,Univ. of Alabama Museums,7,4,N/A,1,Alabama,Bibb
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,3,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,2,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,5,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,2,72,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,6,30,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,1,89,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,7,4,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,3,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,12,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,6,0,N/A,1,Alabama,Calhoun
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,12,4,N/A,1,Alabama,Cherokee
AL,Jacksonville State Univ.,2,0,N/A,1,Alabama,Cherokee
AL,Jacksonville State Univ.,3,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,4,2,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,6,9,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,5,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,7,5,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,23,1,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,11,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Clarke and Mobile
TN,Tennessee Valley Authority,1,1,1,N/A,Alabama,Colbert
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",2,4,N/A,1,Alabama,Colbert
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Covington
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",1,0,N/A,1,Alabama,Crittenden
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",1,0,N/A,1,Alabama,Crittenden
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",1,0,N/A,1,Alabama,Crittenden
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",2,0,N/A,1,Alabama,Crittenden
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",1,0,N/A,1,Alabama,Crittenden
AL,Auburn Univ.,3,0,N/A,1,Alabama,Dallas
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,N/A,1,Alabama,Dallas
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,59,N/A,1,Alabama,Dallas
MS,"Mississippi Dept. of Archives and History, Museum Division",1,0,N/A,1,Alabama,De Soto
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Elmore
AL,Univ. of Alabama Museums,6,0,N/A,1,Alabama,Elmore
AL,Univ. of Alabama Museums,10,0,N/A,1,Alabama,Elmore
AL,Auburn Univ.,707,50000,N/A,1,Alabama,Elmore
AL,Auburn Univ.,52,0,N/A,1,Alabama,Elmore
AL,Univ. of Alabama Museums,27,0,N/A,1,Alabama,Hale
MI,Univ. of Michigan Museum of Anthropology,1,0,N/A,1,Alabama,Hale
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,N/A,1,Alabama,Hale
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Hale
AL,Univ. of Alabama Museums,6,0,N/A,1,Alabama,Hale
AL,"U.S. Dept. of Defense, Army COE, Mobile District",1,0,N/A,1,Alabama,Henry
AL,Univ. of Alabama Museums,76,6,N/A,1,Alabama,Jackson
AL,Univ. of Alabama Museums,41,0,N/A,1,Alabama,Jackson
TN,Tennessee Valley Authority,9,5,N/A,1,Alabama,Jackson
MD,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,N/A,1,Alabama,Jackson
MD,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,N/A,1,Alabama,Jackson
AL,Univ. of Alabama Museums,24,0,N/A,1,Alabama,Jackson
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Jackson
AL,Univ. of Alabama Museums,14,28,N/A,1,Alabama,Jefferson
AL,Univ. of Alabama Museums,0,2,N/A,1,Alabama,Jefferson
AL,Univ. of Alabama Museums,49,0,N/A,1,Alabama,Jefferson
AL,Anniston Museum of Natural History,1,0,N/A,1,Alabama,Jefferson
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Lamar
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Lawrence
AL,Univ. of Alabama Museums,3,4,N/A,1,Alabama,Lawrence
AL,Univ. of Alabama Museums,3,1,N/A,1,Alabama,Lawrence
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Lawrence
AL,Univ. of Alabama Museums,5,4,N/A,1,Alabama,Lawrence
TN,Tennessee Valley Authority,1,0,N/A,1,Alabama,Limestone
TN,Tennessee Valley Authority,5,0,N/A,1,Alabama,Limestone
TN,Tennessee Valley Authority,3,0,N/A,1,Alabama,Limestone
AL,Auburn Univ.,2,0,N/A,1,Alabama,Macon
AL,Univ. of Alabama Museums,9,3,N/A,1,Alabama,Madison
AL,Univ. of Alabama Museums,34,3174,N/A,1,Alabama,Madison
AL,Univ. of Alabama Museums,7,5,N/A,1,Alabama,Madison
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Madison
AL,Univ. of Alabama Museums,114,137,N/A,1,Alabama,Marshall
AL,Univ. of Alabama Museums,27,61,N/A,1,Alabama,Marshall
AL,Univ. of Alabama Museums,19,10,N/A,1,Alabama,Marshall
AL,Univ. of Alabama Museums,1373,0,N/A,1,Alabama,Marshall
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,3,0,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,20,1,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,23,0,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",3,161,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",7,0,N/A,1,Alabama,Mobile
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Mobile
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Monroe
AL,Univ. of Alabama Museums,3,0,N/A,1,Alabama,Montgomery
MA,Robert S. Peabody Institute of Archaeology,1,0,N/A,1,Alabama,Montgomery
AL,Univ. of Alabama Museums,5,1,N/A,1,Alabama,Montgomery
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,95,109,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,7,3,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,9,9,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,9,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,3,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,3,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,6,14,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Morgan
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,N/A
LA,Univ. of Louisiana at Monroe,3,0,N/A,1,Alabama,N/A
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,N/A
AL,Univ. of Alabama Museums,17,0,N/A,1,Alabama,Perry
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Randolph
GA,Columbus Museum,4,0,N/A,1,Alabama,Russell
AL,Auburn Univ.,1,4,1,N/A,Alabama,Russell
AL,Univ. of Alabama Museums,356,7,N/A,1,Alabama,St. Clair
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Sumter
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Sumter
AL,Univ. of Alabama Museums,4,1,N/A,1,Alabama,Talladega
AL,Jacksonville State Univ.,1,0,N/A,1,Alabama,Talladega
AL,Univ. of Alabama Museums,22,0,N/A,1,Alabama,Talladega
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Talladega
AL,Univ. of Alabama Museums,11,0,N/A,1,Alabama,Talladega
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Talladega
MA,Robert S. Peabody Institute of Archaeology,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,2361,28,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1939,43,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,13,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,43,16,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,45,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,69,26,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,13,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Tuscaloosa
FL,"U.S. Dept. of Interior, NPS, Southeast Archeological Center",5,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,15,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1552,227,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Tuscaloosa
AL,Univ. of Alabama Museums,1,10,N/A,1,Alabama,Walker
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Washington
AL,"Univ. of South Alabama, Center for Archaeological Studies",4,2,N/A,1,Alabama,Washington
FL,"Univ. of Florida, Gainesville, Florida Museum of Natural History",15,0,N/A,1,Alabama,Washington
OK,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,N/A,1,Alabama,Wilcox
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Wilcox
AL,Auburn Univ.,1,2,N/A,1,Alabama,Wilcox
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,46,N/A,1,Alabama,Wilcox
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Wilcox
FL,"Florida State Univ., Dept. of Anthropology",1,0,N/A,1,Alabama,
CT,Bruce Museum,1,0,N/A,1,Alabama,
TN,Tennessee Valley Authority,4,0,N/A,1,Alabama,
TN,Tennessee Valley Authority,4,0,N/A,1,Alabama,
AL,Jacksonville State Univ.,1,0,N/A,1,Alabama,
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,N/A,1,Alabama,
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians East
NY,American Museum of Natural History,1,1,N/A,1,Alaska,Aleutians East
NY,American Museum of Natural History,24,0,N/A,1,Alaska,Aleutians East
NY,American Museum of Natural History,2,0,N/A,1,Alaska,Aleutians East
NY,American Museum of Natural History,5,188,N/A,1,Alaska,Aleutians East
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,3,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,2,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,6,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,8,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,2,0,N/A,1,Alaska,Aleutians West
UT,"Brigham Young Univ., Museum of Peoples and Cultures",1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
MO,Kansas City Museum,1,0,N/A,1,Alaska,Aleutians West
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,7,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,9,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,3,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,10,0,N/A,1,Alaska,Aleutians West
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Aleutians West
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Bethel
WA,Karshner Museum,1,0,N/A,1,Alaska,Bristol Bay
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Denali
AK,Alaska Office of History and Archeology,3,0,1,N/A,Alaska,Dillingham 
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Haines
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Juneau
NY,American Museum of Natural History,7,0,N/A,1,Alaska,Kenai Peninsula
AK,"Univ. of Alaska, Anchorage, Dept. of Anthropology",1,0,N/A,1,Alaska,Kenai Peninsula
CA,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",5,0,N/A,1,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,2,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,3,156,1,N/A,Alaska,Kenai Peninsula
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Kenai Peninsula
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Kenai Peninsula
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Ketchikan Gateway
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kodiak Island
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kodiak Island
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Kodiak Island
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Matanuska-Susitna
CT,"Yale Univ., Peabody Museum of Natural History",2,2,N/A,1,Alaska,N/A
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",2,0,N/A,1,Alaska,N/A
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",1,0,1,N/A,Alaska,N/A
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",1,0,1,N/A,Alaska,N/A
RI,"Haffenreffer Museum of Anthropology, Brown Univ.",4,0,N/A,1,Alaska,Nome
NY,American Museum of Natural History,1,0,N/A,1,Alaska,Nome
NY,American Museum of Natural History,13,0,N/A,1,Alaska,Nome
NY,Cornell Univ.,1,0,N/A,1,Alaska,Nome
CA,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",14,0,N/A,1,Alaska,Nome
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Nome
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Nome
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Nome
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Nome
AK,State of Alaska Medical Examiner Office,1,0,N/A,1,Alaska,Nome
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,North Slope
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Northwest Arctic
AK,Alaska State Museum,1,0,1,N/A,Alaska,Northwest Arctic
AK,Alaska State Museum,1,0,1,N/A,Alaska,Seward
AK,Sheldon Jackson Museum,12,0,N/A,1,Alaska,Sitka
AK,Sheldon Jackson Museum,1,0,N/A,1,Alaska,Sitka
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",2,0,1,N/A,Alaska,Sitka
AK,Alaska State Museum,1,1,1,N/A,Alaska,Sitka
AK,Alaska State Museum,1,8,1,N/A,Alaska,Sitka
AK,Alaska State Museum,1,0,1,N/A,Alaska,Sitka
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",1,0,1,N/A,Alaska,Skagway-Hoonah-Angoon
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Skagway-Hoonah-Angoon 
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,St. Lawrence Island
AK,Alaska Office of History and Archeology,1,0,1,N/A,Alaska,Undetermined
NY,American Museum of Natural History,2,0,N/A,1,Alaska,Valdez-Cordova
AK,Univ. of Alaska Museum of the North,1,2,1,N/A,Alaska,Valdez-Cordova
AK,Univ. of Alaska Museum of the North,1,0,1,N/A,Alaska,Valdez-Cordova
AK,Univ. of Alaska Museum of the North,1,0,1,N/A,Alaska,Valdez-Cordova
AK,Univ. of Alaska Museum of the North,1,0,1,N/A,Alaska,Valdez-Cordova
AK,"U.S. Dept. of Agriculture, FS, Tongass NF, All Areas",2,0,1,N/A,Alaska,Wrangell-Peterburg
NJ,Princeton University,1,0,1,N/A,Alaska,Yakutat
NH,"Hood Museum of Art, Dartmouth College",2,0,N/A,1,Alaska,
CA,Oakland Museum of California,1,0,N/A,1,Alaska,
OH,Cleveland Museum of Natural History,1,0,N/A,1,Alaska,
NY,American Museum of Natural History,2,0,N/A,1,Alaska,
UT,"Brigham Young Univ., Museum of Peoples and Cultures",1,0,N/A,1,Alaska,
UT,"Brigham Young Univ., Museum of Peoples and Cultures",3,0,N/A,1,Alaska,
NY,American Museum of Natural History,1,0,N/A,1,Alaska,
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,N/A,1,Alaska,
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,0,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,7,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,0,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,3,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,0,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,0,N/A,1,Alaska,
NM,"Univ. of New Mexico, Maxwell Museum of Anthropology",3,1,N/A,1,Alaska,
CA,Autry Museum of the American West (formerly Southwest Museum of the American Indian),1,0,N/A,1,Alaska,
CA,Autry Museum of the American West (formerly Southwest Museum of the American Indian),1,0,N/A,1,Alaska,
AK,Sheldon Jackson Museum,1,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,18,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,1,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,2,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,2,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,2,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,2,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,1,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,1,1,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,15,1,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,5,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,7,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,5,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,12,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,13,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,7,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,4,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,11,0,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,22,1,N/A,1,Alaska,
AK,Univ. of Alaska Museum of the North,1,3,N/A,1,Alaska,
